"elemento_grafo";"ci";"cj";"ck";"cl";"cm";"mean_absolute_error"
"A1";1;2;1;0;1;1.4277
"A1";1;2;1;0;2;1.45711
"A1";1;2;1;1;0;1.12778
"A1";1;2;1;1;1;1.12421
"A1";1;2;1;1;2;1.16033
"A1";1;2;1;2;0;4.30811
"A1";1;2;1;2;1;4.22108
"A1";1;2;1;2;2;4.33045
"A1";1;2;2;0;0;2.26385
"A1";1;2;2;0;1;2.17071
"A1";1;2;2;0;2;2.67363
"A1";1;2;2;1;0;1.82845
"A1";1;2;2;1;1;2.0809
"A1";1;2;2;1;2;2.51193
"A1";1;2;2;2;0;1.88661
"A1";1;2;2;2;1;1.87687
"A1";1;2;2;2;2;1.97241
"A1";2;0;0;0;0;0.710066
"A1";2;0;0;0;1;0.84725
"A1";2;0;0;0;2;1.14919
"A1";2;0;0;1;0;0.914003
"A1";2;0;0;1;1;0.955585
"A1";2;0;0;1;2;0.983899
"A1";2;0;0;2;0;1.4424
"A1";2;0;0;2;1;1.44198
"A1";2;0;0;2;2;1.47496
"A1";2;0;1;0;0;0.965371
"A1";2;0;1;0;1;1.13756
"A1";2;0;1;0;2;1.31927
"A1";2;0;1;1;0;1.00375
"A1";2;0;1;1;1;1.03767
"A1";2;0;1;1;2;1.17161
"A1";2;0;1;2;0;1.58921
"A1";2;0;1;2;1;1.69523
"A1";2;0;1;2;2;1.91872
"A1";2;0;2;0;0;0.908776
"A1";2;0;2;0;1;0.908054
"A1";2;0;2;0;2;0.968282
"A1";2;0;2;1;0;1.1004
"A1";2;0;2;1;1;1.11829
"A1";2;0;2;1;2;1.24224
"A1";2;0;2;2;0;1.78561
"A1";2;0;2;2;1;1.82578
"A1";2;0;2;2;2;1.81385
"A1";2;1;0;0;0;0.800819
"A1";2;1;0;0;1;0.811128
"A1";2;1;0;0;2;0.870743
"A1";2;1;0;1;0;0.900572
"A1";2;1;0;1;1;0.909387
"A1";2;1;0;1;2;1.00535
"A1";2;1;0;2;0;1.77151
"A1";2;1;0;2;1;1.74266
"A1";2;1;0;2;2;1.82807
"A1";2;1;1;0;0;1.19972
"A1";2;1;1;0;1;1.27151
"A1";2;1;1;0;2;1.31256
"A1";2;1;1;1;0;1.48459
"A1";2;1;1;1;1;1.69101
"A1";2;1;1;1;2;1.82691
"A1";2;1;1;2;0;1.99686
"A1";2;1;1;2;1;2.00774
"A1";2;1;1;2;2;2.11228
"A1";2;1;2;0;0;0.899752
"A1";2;1;2;0;1;0.81774
"A1";2;1;2;0;2;0.888302
"A1";2;1;2;1;0;1.49914
"A1";2;1;2;1;1;1.60157
"A1";2;1;2;1;2;1.68956
"A1";2;1;2;2;0;1.87539
"A1";2;1;2;2;1;1.9265
"A1";2;1;2;2;2;2.01251
"A1";2;2;0;0;0;1.08437
"A1";2;2;0;0;1;1.12187
"A1";2;2;0;0;2;1.15894
"A1";2;2;0;1;0;1.36707
"A1";2;2;0;1;1;1.42683
"A1";2;2;0;1;2;1.63937
"A1";2;2;0;2;0;1.9291
"A1";2;2;0;2;1;2.03695
"A1";2;2;0;2;2;2.28115
"A1";2;2;1;0;0;1.45125
"A1";2;2;1;0;1;1.49757
"A1";2;2;1;0;2;1.54757
"A1";2;2;1;1;0;2.50221
"A1";2;2;1;1;1;2.75854
"A1";2;2;1;1;2;2.91985
"A1";2;2;1;2;0;2.32527
